"ccg","org_cd","pop_2019","pop_2020","region","access_2021","access_2122","mhspend_allages_1718","mhspend_allages_1819","mhspend_allages_1920","mhspend_allages_2021","mhspend_allages_2122","mhspend_perc_allocation_1718","mhspend_perc_allocation_1819","mhspend_perc_allocation_1920","mhspend_perc_allocation_2021","mhspend_perc_allocation_2122","mhspend_cyp_1718","mhspend_cyp_1819","mhspend_cyp_1920","mhspend_cyp_2021","mhspend_cyp_2122","EDspend_1718","EDspend_1819","EDspend_1920","EDspend_2021","EDspend_2122","number_referred","avg_wait_2122","perc_closed_2122","Q1.2017.18","Q2.2017.18","Q3.2017.18","Q4.2017.18","Q1.2018.19","Q2.2018.19","Q3.2018.19","Q4.2018.19","Q1.2019.20","Q2.2019.20","Q3.2019.20","Q4.2019.20","Q1.2020.21","Q2.2020.21","Q3.2020.21","Q4.2020.21","Q1.2021.22","Q2.2021.22","Q3.2021.22","Q4.2021.22","Q1.2017.18.1","Q2.2017.18.1","Q3.2017.18.1","Q4.2017.18.1","Q1.2018.19.1","Q2.2018.19.1","Q3.2018.19.1","Q4.2018.19.1","Q1.2019.20.1","Q2.2019.20.1","Q3.2019.20.1","Q4.2019.20.1","Q1.2020.21.1","Q2.2020.21.1","Q3.2020.21.1","Q4.2020.21.1","Q1.2021.22.1","Q2.2021.22.1","Q3.2021.22.1","Q4.2021.22.1","Q1.2020.21.2","Q2.2020.21.2","Q3.2020.21.2","Q4.2020.21.2","Q1.2021.22.2","Q2.2021.22.2","Q3.2021.22.2","Q4.2021.22.2"
"NHS STAFFORD AND SURROUNDS CCG","05V",29647,29852,"Midlands",950,1070,27836421.2,30696323.36,33329325.77,36790092.51,39542785.41,0.187942927,0.173910934,0.178653962,0.113073681,0.121534033,2722332.515,3239129.647,3416040.096,3656950.462,3069273.85,194197.8002,231063.5635,243683.484,245956.1211,270067.2955,1550,64,44,243,177,"233","236","302",182,246,"450","461","531",380,"384","334","285","293",209,"246","302","281","209","*","5","*","*","*","*","5","*","*","*","*","*","*","*","9","*","*","*","*","6","*","*","15","*","5","10","*","*"
"NHS STOKE ON TRENT CCG","05W",59275,59653,"Midlands",2825,3355,59600000,72800348.38,76891087.68,85969849.73,95375086.26,0.153171866,0.183057571,0.183620069,0.185075887,0.20532348,2825000,3721444.646,3727949.078,3055753.556,7341850.573,590000,729618.4819,560519.4446,558128.4166,675575.3824,4200,25,37,939,1073,"1152","1116","552",546,439,"184","381","632",786,"679","718","382","206",429,"473","428","317","336","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"NHS BRIGHTON AND HOVE CCG","09D",50267,50332,"South East",2075,2065,73396228.36,68177813.92,69397481.14,72440290.59,76736901.54,0.192082115,0.181270942,0.175387892,0.182588008,0.19341775,3990170.6,4228746.074,4730161.045,5828057.653,6202647.98,241893,235590.0483,250955.932,254591.7662,260900.1532,2885,72,23,682,667,"840","654","296",556,569,"340","533","684",543,"470","433","368","298",277,"467","589","571","636","11","10","14","11","7","11","*","*","8","12","7","11","12","*","*","8","*","*","*","*","*","*","20","10","*","*","*","*"
"NHS BOLTON CCG","00T",68385,68931,"North West",2295,2655,47874000,53598786.97,53076366.4,56440416,60142438.42,0.113811745,0.129885444,0.122072725,0.122721367,0.130770869,3503000,3378000,4015000,4372159.399,5374917.729,269000,269000,277000,424421.67,261007.2058,4105,60,31,1136,987,"1294","1438","1042",890,1123,"1078","964","884",875,"956","843","734","722",842,"946","1001","900","717","*","7","7","*","5","7","*","*","9","12","6","*","5","*","*","5","*","8","7","*","*","5","*","*","*","15","*","5"
"NHS BURY CCG","00V",43289,43180,"North West",1875,1725,35588000,35752821.05,38502000,43062954,49227432.8,0.132985064,0.135991408,0.139127984,0.137920077,0.15766339,1996000,2854271,3665786,4054437,4560925.284,112000,144953,148605,173110,199339,3520,33,49,386,529,"533","535","526",381,573,"705","866","836",670,"467","331","351","577",408,"468","365","317","260","14","13","14","14","9","13","21","14","9","8","15","11","9","10","13","8","7","8","12","6","*","*","*","*","*","*","*","10"
"NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG","01D",53299,53846,"North West",3200,3840,41599000,40490000,42458000,45674068.43,48483553.53,0.124778633,0.12480504,0.124266105,0.124203377,0.131843325,3357000,3387000,3763000,5324863.021,5582975.86,137000,137000,145000,188797.9258,248919.0831,4290,33,31,539,672,"751","717","304",305,567,"207","261","358",581,"523","301","167","128",410,"496","424","308","204","*","5","*","*","5","*","8","7","6","10","*","*","7","9","6","5","*","*","*","5","*","*","*","*","*","*","*","*"
"NHS MANCHESTER CCG","14L",122914,123872,"North West",6765,5755,116050410.9,129830676.8,137761360.2,149250716.7,158579829.9,0.137361856,0.158779517,0.159060885,0.103966702,0.110465278,8205000,9304734.4,11076955.13,10448120.28,11895803.16,355000,365508,355500,429667,594000,11680,33,38,1385,1416,"1367","1021","647",1051,1124,"1278","1485","1547",1540,"1252","888","1099","879",1114,"1274","1336","1296","1000","9","8","5","6","*","5","11","*","8","*","5","5","*","6","*","5","*","*","*","*","*","25","5","*","*","15","*","50"
"NHS OLDHAM CCG","00Y",59592,59450,"North West",1880,2015,41855075.86,44219998.87,48847807.15,49552397.42,57054922.28,0.117929504,0.129428806,0.135393872,0.124658743,0.143532811,2759538.363,3030670.437,3298534.187,3750082.894,5186299.511,138138,157680,162944.5572,187586.634,220823.9851,3670,57,45,367,264,"286","341","413",455,431,"333","214","289",381,"454","273","317","369",254,"410","655","451","431","15","16","16","*","5","19","9","19","15","22","14","13","6","18","16","15","15","11","10","10","5","*","*","*","*","*","*","*"
"NHS SALFORD CCG","01G",57452,58442,"North West",2880,2130,51577000,55342000,60697000,64406200,67892796,0.125670664,0.13989171,0.144920027,0.183275443,0.193196964,2736000,3363000,5410000,6624000,7888534,728000,177000,161000,233000,298792,3560,29,35,757,550,"901","945","470",342,392,"591","498","390",225,"424","299","403","354",331,"194","364","264","176","6","*","5","7","9","8","5","5","*","7","*","8","8","*","5","*","*","6","*","*","*","*","*","*","5","*","*","10"
"NHS STOCKPORT CCG","01W",63518,63903,"North West",2325,2260,47952000,30208000,51294000,57858549,64304730.52,0.115031367,0.073153308,0.117821359,0.122788187,0.13646836,3242000,3354000,2547000,3006950,3736132.493,170000,170000,179000,195370,252754.0085,3045,25,44,467,332,"406","384","387",410,336,"184","191","113",225,"444","394","247","344",430,"345","375","547","659","9","*","6","*","*","*","10","10","7","*","*","7","*","7","5","*","*","5","*","5","*","*","*","*","*","*","*","*"
"NHS TAMESIDE AND GLOSSOP CCG","01Y",57355,57652,"North West",2160,2415,37611000,40273000,42375000,46612129.17,50753632.11,0.104054112,0.113350558,0.113451689,0.116898894,0.127285399,521000,2136000,2637000,3540080.453,4617737.403,144000,120000,123000,144276.0877,238342.4334,3825,40,26,1023,707,"469","369","445",317,304,"525","498","530",512,"540","394","459","507",495,"379","273","338","462","5","5","8","*","*","8","13","*","*","*","5","9","*","*","6","*","*","*","*","6","*","*","*","*","*","*","*","*"
"NHS TRAFFORD CCG","02A",56511,56626,"North West",1850,1720,32263000,32268655.95,35187000,37019845.5,40899223,0.100342114,0.104580594,0.108080464,0.103617432,0.114475693,2180000,2041417.658,2284000,2304219,3405764,167000,147570.3634,157000,209312,126300,3880,42,32,283,196,"205","457","119",77,173,"244","193","295",282,"190","211","268","291",189,"315","410","366","424","8","9","5","6","6","*","7","5","6","5","*","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"NHS WIGAN BOROUGH CCG","02H",68916,69384,"North West",2095,2090,53392864,48860757.84,51645251.48,55277809.55,58811102.88,0.111774202,0.105050692,0.10542386,0.107756268,0.114643923,3546000,2726281.162,3332600.934,3819804.075,4444821.19,269000,205844.0821,213720.2316,214292.6104,233099.6277,4860,35,46,676,568,"442","408","297",479,580,"426","603","568",274,"315","378","345","258",417,"504","604","643","558","8","*","8","6","*","*","7","*","7","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"NHS EAST RIDING OF YORKSHIRE CCG","02Y",58816,59023,"North East and Yorkshire",1510,1680,53613661.8,55625705.45,59015861.42,62398248.29,64351000,0.139187936,0.141964238,0.14320519,0.142025003,0.146469672,2919816.301,3062942.47,3287361.584,3731141.722,3721000,259470.0978,266500,276900.8288,277353.3252,279000,3360,28,43,673,554,"470","695","642",386,195,"528","892","1192",1064,"971","1014","883","755",758,"531","173","390","486","9","6","*","7","*","5","9","12","13","*","*","*","*","*","*","*","6","*","*","*","*","*","*","*","10","*","*","*"
"NHS HULL CCG","03F",57370,57585,"North East and Yorkshire",1945,2435,56214186.6,60513964.83,63102938.45,65833505.87,70488000,0.140335828,0.150903503,0.149600385,0.123724194,0.132471618,3917120,2825721.226,3769038.828,4032905.614,4049000,155850,163845.3156,161247.0952,163706.0904,167000,4725,34,40,469,469,"468","329","302",447,416,"364","435","426",84,"207","242","341","304",311,"218","310","214","296","5","*","5","5","7","*","*","12","8","13","6","8","9","*","6","7","5","*","6","7","*","*","*","*","5","30","*","*"
"NHS NORTH EAST LINCOLNSHIRE CCG","03H",34518,34460,"North East and Yorkshire",1180,1225,30675681.47,31959000,34551000,36805000,39754000,0.131585822,0.138958216,0.143014433,0.143882728,0.155411329,2880538,2764000,2882000,3211000,3301000,91000,93000,96000,96000,98000,2685,36,41,86,69,"148","134","91",99,35,"90","155","152",140,"93","*","120","92",139,"121","80","*","22","7","*","*","*","5","*","5","*","5","*","*","*","6","*","*","*","*","5","*","*","*","*","*","*","*","*","10","55"
"NHS NORTH LINCOLNSHIRE CCG","03K",35638,35677,"North East and Yorkshire",1230,1355,30063512.14,30964563.86,33948468.5,37186541.15,32085360.74,0.139119807,0.134157238,0.139906567,0.140050412,0.120838558,1637666.82,1595126.51,1623891.23,1951360.891,2339795.327,90000,90000,90000,92340,95367.7,1935,26,31,183,34,"*","*","*",20,170,"66","47","119",214,"217","218","244","236",195,"183","159","125","228","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"NHS VALE OF YORK CCG","03Q",66910,67144,"North East and Yorkshire",3095,3080,67449630.93,68006952.22,71569483.16,76333824.74,78879521.4,0.178110181,0.164942912,0.164740005,0.15761436,0.162870724,2653243.142,3372061,3937338,4508871,4051787.554,232668.4682,165536,156164,157329,182876.138,4420,29,22,1304,1517,"1264","802","629",536,492,"711","603","592",444,"421","400","347","320",346,"224","399","416","478","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","5","5","25","*","*","*"
"NHS GLOUCESTERSHIRE CCG","11M",128910,129562,"South West",3940,5020,81786000,91660971.3,113546365.6,102068889.9,108556665.7,0.106493084,0.120359488,0.141043151,0.10998808,0.116979221,6629000,6291480.636,6537589.211,6867648.157,8417764.937,486000,709165.3683,949798.9413,1005194.433,1032135,7950,70,28,727,995,"1008","863","893",1213,1251,"1222","1352","1209",1198,"848","626","666","571",620,"519","422","326","229","15","14","9","7","8","*","7","*","*","*","*","*","5","*","*","*","*","*","*","*","*","20","*","10","25","25","5","*"
"NHS PORTSMOUTH CCG","10R",43756,43756,"South East",1445,1490,44176967,44165000,47792000,51082493.81,54694000,0.155043351,0.157199349,0.161442006,0.160992563,0.172374655,2630000,1987788.931,2323417.097,2517613.051,2685000,109000,108790,112947.2519,212713.9235,335000,2900,65,42,175,310,"331","196","185",312,300,"500","331","612",542,"432","194","111","90",142,"130","193","290","123","8","7","5","6","14","5","12","10","9","13","11","7","6","*","*","6","*","*","*","*","*","*","*","*","*","*","*","*"
"NHS SOMERSET CCG","11X",111190,111293,"South West",2290,2695,80471000,83525000,95840000,105366000,110709000,0.111506026,0.114360002,0.124020896,0.114383773,0.120184055,5375000,5390000,6228000,6932000,7463000,284000,384000,484000,547000,689000,6340,32,42,1160,1392,"1338","997","1314",1491,1058,"924","788","826",737,"607","436","659","565",612,"242","268","311","17","*","*","5","*","*","5","*","*","*","5","*","*","*","*","*","*","*","*","*","*","*","*","*","20","50","*","*","*"
"NHS KERNOW CCG","11N",108852,109293,"South West",3375,4085,121447000,131335000,140363000,147039000,157072679.1,0.172604336,0.170002382,0.172144487,0.155553361,0.166168045,6206000,5838000,8694000,10968000,9810965.432,653000,722000,665000,709000,1091802.321,5885,45,37,1273,1392,"1269","1170","1270",1172,918,"1426","1698","1500",1329,"1178","1133","1145","969",434,"517","475","907","919","10","9","13","11","19","11","10","7","8","*","11","*","*","6","7","9","*","*","*","*","*","*","*","50","*","*","*","*"
"NHS Berkshire West CCG","15A",113021,114075,"South East",3780,4855,68716009.91,75432000,79952315.56,93748013.45,98878105.89,0.117926597,0.130422379,0.131084627,0.143481216,0.151332816,5212000,3746000,4385588.372,4956184,5337480.73,674000,2978000,2977427.082,3301055,3399155.828,8570,36,23,629,246,"375","744","899",677,572,"974","916","962",759,"906","1002","1148","1247",992,"945","700","638","606","13","12","14","17","11","12","15","15","14","15","10","20","20","10","10","7","7","9","8","12","*","*","*","*","5","*","*","5"
"NHS Buckinghamshire CCG","14Y",126312,127411,"South East",4575,4680,84587000,87482000,95072000,101205000,106438000,0.1369018,0.142736171,0.14674413,0.143615043,0.151040937,4386000,4976700,5049000,6417000,5853000,256000,256000,338000,427000,368000,7795,42,31,1046,821,"758","698","596",754,1290,"1443","1516","1550",1236,"1255","1109","970","966",967,"992","899","863","1123","*","*","6","8","6","*","8","10","6","5","6","6","17","*","7","6","6","*","5","*","*","*","*","*","*","*","*","5"
"NHS OXFORDSHIRE CCG","10Q",142659,144435,"South East",5570,5545,77313606,82019000,90395000,97585000,107719000,0.098430719,0.106111787,0.110773163,0.092510674,0.102117716,7070860,6498000,6775000,6987000,7240000,816353,828000,828000,851000,855000,7480,57,30,1679,1209,"1465","2128","1904",1507,1988,"1608","1626","1637",1332,"1403","1433","1798","1599",1508,"1514","1489","1063","737","9","6","9","7","8","8","10","14","10","10","13","6","9","7","7","9","13","5","10","10","*","*","10","*","*","*","*","10"
"NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG","06H",196307,198120,"East of England",6115,5840,127917000,133757000,140987007,149454000,159147000,0.128771269,0.129366558,0.129042569,0.103761913,0.110491504,9546000,9085000,9920115,10497000,10941000,612000,612000,628000,891000,9e+05,12705,44,30,2468,2735,"2691","2294","2057",2277,2696,"2726","3106","3022",3191,"2904","1779","1324","730",611,"1910","1495","1818","1537","17","15","18","17","16","17","19","16","19","17","10","20","10","14","9","13","17","7","6","7","60","50","105","30","35","15","40","*"
"NHS Bristol, North Somerset and South Gloucestershire CCG","15C",197090,198154,"South West",4135,4585,158623745.1,145406000,154554427,166370751.7,174650896,0.144305663,0.124064965,0.124593743,0.111531263,0.117082088,9725028.18,9534000,10857000,11566119.25,12356761.44,256074.46,458000,462266,480757,532961.5613,8115,36,45,2237,1935,"1723","1934","2248",2797,3129,"2781","2700","2401",1757,"1817","1563","1699","1705",1493,"1717","1572","1195","1063","24","30","20","17","25","28","23","28","21","23","25","20","13","22","17","12","20","12","11","5","*","*","*","25","90","20","*","*"
"NHS DORSET CCG","11J",143436,144050,"South West",4670,4725,159439895.7,166582000,182298000,197207183.4,210421273,0.148958018,0.158127702,0.164070727,0.152191039,0.162388771,9439532,8431000,8798000,10148887.68,10889227.28,1301000,995000,1201000,1234793.478,1356790.65,6245,48,44,1836,1517,"2205","2660","2303",2388,2687,"2485","2977","2419",1911,"1680","1402","1704","1740",1458,"1479","1225","995","897","16","17","17","23","37","30","31","22","28","20","19","21","19","16","22","21","29","11","12","21","*","*","*","*","*","*","*","*"
"NHS CALDERDALE CCG","02T",46118,45951,"North East and Yorkshire",1375,1955,35108000,35452738.7,37651000,38914000,40840608.09,0.122442716,0.124206867,0.12518786,0.123537719,0.129653995,1752000,1755964.84,1853000,2352000,2226404.11,107000,107000,111000,111000,126775.8304,3235,26,39,352,242,"216","70","42",110,255,"200","361","303",140,"179","387","374","163",99,"14","*","216","180","17","14","27","19","19","18","31","18","16","19","11","9","16","14","13","13","7","6","7","8","5","*","*","*","*","*","*","*"
"NHS Leeds CCG","15F",169422,170581,"North East and Yorkshire",4765,6295,154044000,161277000,175199578.2,191771167.7,202883155.6,0.139759416,0.148408499,0.152855471,0.158923407,0.168132065,8695000,8884000,10057604.11,10223965.83,11036000,425000,425000,714893.0808,677031.9038,708000,9390,59,21,858,1150,"1112","1235","1064",846,844,"952","1289","1276",1056,"997","1269","1435","1488",1294,"1219","1116","1049","766","5","*","*","*","*","*","*","*","*","*","*","*","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"NHS WAKEFIELD CCG","03R",73845,74986,"North East and Yorkshire",3385,4665,71419000,74773431.55,79988000,82011000,86463000,0.135834069,0.146290438,0.148069988,0.095080392,0.100241869,4784000,7655000,8482000,9773000,10158000,193000,195000,196000,436000,442000,6785,24,21,168,481,"697","575","502",246,465,"586","528","506",510,"291","356","235","443",529,"517","365","276","157","7","6","*","9","12","6","12","6","6","11","9","7","13","13","10","*","7","6","*","*","*","*","10","*","10","25","*","*"
"NHS HALTON CCG","01F",28770,28845,"North West",755,765,24918089.6,25723286.29,27303750,28010000,30088000,0.127067232,0.127411753,0.12858263,0.124673956,0.133923242,1652671.751,1656893.125,1709000,1866000,2272000,113000,222000,229000,211000,222000,1470,25,46,61,106,"92","90","212",166,108,"163","124","23",80,"*","*","*","92",17,"*","*","53","*","*","9","8","7","*","5","5","*","*","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"NHS KNOWSLEY CCG","01J",33802,34437,"North West",1030,1250,36304360.41,40505000,43439000,43805087.33,48772000,0.131742145,0.147319837,0.150579418,0.145668262,0.1621851,1461246,1720000,2224173.097,1863513.944,2064000,0,140000,143560.5377,174428.2328,303000,2360,34,29,339,245,"289","285","128",116,96,"49","11","172",204,"53","26","86","7",6,"19","28","62","76","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","60","*","*","*","*","*"
"NHS LIVERPOOL CCG","99A",96052,96744,"North West",5970,6345,116320000,117293000,124445000,125454000,132593849.7,0.143771962,0.146251171,0.146951158,0.097987289,0.10356395,6051000,6726000,7719000,8475000,8442194.255,312000,316000,492000,598000,636346.593,9875,25,26,591,372,"580","611","473",709,462,"350","416","513",350,"352","264","391","455",498,"493","634","628","492","*","*","*","*","*","*","*","*","*","6","*","*","*","*","*","*","*","*","*","*","*","90","*","*","*","40","*","*"
"NHS SOUTH SEFTON CCG","01T",32578,32677,"North West",1075,1235,23724906.4,25802622.9,29423022,29114278.22,33450000,0.098180374,0.105761458,0.115047379,0.103278015,0.11865826,2580550,2778034.6,2660000,2998000,2877000,260260,261716,277196,105000,107000,1815,48,31,107,153,"110","158","285",222,49,"*","26","50",95,"161","5","20","76",124,"143","94","173","111","*","7","12","5","6","*","5","*","*","7","*","5","*","5","5","*","*","6","*","*","*","*","*","*","15","*","*","*"
"NHS SOUTHPORT AND FORMBY CCG","01V",21479,21421,"North West",705,790,20293860,22462510,23304090,23668916.69,25945076.02,0.117165357,0.122119344,0.120596616,0.108382997,0.118805822,894860,1088000,938000,1071000,1108000,204204,204000,82000,80000,81000,915,39,19,91,165,"223","234","88",209,287,"386","351","248",246,"270","251","238","245",196,"326","250","264","416","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"NHS ST HELENS CCG","01X",36868,36893,"North West",1555,1430,37966496.58,36496611.35,39848469.52,42283000,44832000,0.131740366,0.121066182,0.125513316,0.122018198,0.129373977,1780421.965,3434352.08,3666916.713,3024000,3249000,0,299271,181329.42,249000,285000,3205,24,48,81,49,"98","244","324",365,243,"201","358","276",214,"133","92","44","*",75,"78","93","54","196","*","*","*","6","*","*","*","*","*","*","*","6","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"NHS WARRINGTON CCG","02E",44391,44177,"North West",1575,1695,33572000,35594298,37563938.67,44558000,52923000,0.119574757,0.125846054,0.125885357,0.134407675,0.15964041,2165000,2240000,2534000,3584000,3874000,170000,238000,268000,284000,289000,3205,22,46,538,403,"565","468","517",425,366,"256","223","123",50,"100","120","245","278",422,"515","355","191","220","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","180","90","30","*","*","35","*","*"
"NHS WIRRAL CCG","12F",67508,67431,"North West",3910,2560,67417000,69991176.48,77003264.4,79510187.18,84190760.36,0.133691557,0.135826075,0.142169497,0.135148289,0.143104143,4472000,5641790,5701454.398,6328951.66,6460565.096,479000,224450,226530,242406.904,245415.0049,5020,30,36,833,676,"1328","1199","638",733,833,"856","1000","644",736,"786","605","739","640",1053,"822","707","864","699","*","5","6","*","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"NHS Tees Valley CCG","16C",146833,147498,"North East and Yorkshire",10175,10905,178839000,190924035.4,199465216.5,215655177.5,228159214.8,0.179320549,0.192370469,0.191111723,0.18314442,0.193763431,12888000,13978831.24,14772420.37,16772152.31,16644477.04,794000,810267.7512,931338.9025,993068.6185,1163171.378,12275,30,36,1550,1787,"1298","1151","822",771,987,"881","953","1005",1114,"1028","1090","1078","924",645,"80","7","88","*","9","12","12","7","7","*","6","12","15","7","8","9","8","7","13","8","*","5","7","*","20","5","*","*","*","*","*","*"
"NHS Herefordshire and Worcestershire CCG","18C",154908,155382,"Midlands",4770,4995,119276000,122243280.4,130974381.5,135348921.6,142601689,0.12848775,0.12957214,0.129832376,0.109701319,0.115579742,7969000,8379191.378,9071095.931,9657054.964,10259538.81,419000,404074.2143,491858.4836,581758.1174,841540.2692,7595,66,34,1322,1030,"1375","1406","2035",1424,1317,"1728","1427","1539",1796,"1654","1498","1726","1905",2220,"2087","1331","1587","1379","14","9","7","7","10","9","9","12","6","15","7","11","9","8","5","9","*","*","*","*","20","70","15","50","*","35","5","*"
"NHS Norfolk and Waveney CCG","26A",194272,194694,"East of England",6135,7690,206205158.2,190799976.6,173954467.6,192888165.4,207632850,0.157466222,0.142753982,0.123157006,0.113881402,0.122586681,8297888.5,22929566.96,24164477.25,25800095.4,27489933.12,1669190.666,915000,1968686,2178186.36,2656418.579,14985,50,36,1968,1994,"2468","2571","2289",2021,2313,"2601","2465","2593",2666,"1595","1211","1828","2032",1617,"1737","1716","1614","1793","12","11","10","11","12","*","8","13","7","10","14","13","12","15","12","8","12","11","10","9","*","*","*","*","*","*","*","45"
"NHS Cheshire CCG","27D",145946,147246,"North West",3985,2980,110340879.5,109366469.2,115020988.7,124824926.4,133861380.1,0.118520755,0.112987142,0.112832932,0.11081796,0.118840407,6523480.17,8428364.233,9174864.012,10672730.23,11926994.22,552045.06,518111.9915,773460.4803,524349.469,519988.6293,8090,53,38,1654,1155,"1265","921","694",586,840,"695","635","429",524,"927","624","666","979",1271,"1297","1253","1518","1054","22","22","26","23","14","24","16","21","24","22","21","12","12","20","13","22","11","8","9","16","*","*","*","50","10","*","*","*"
"NHS Bradford District and Craven CCG","36J",151731,151758,"North East and Yorkshire",5660,7155,101481000,107804000,120775000,128434000,135332000,0.128131524,0.135203877,0.141252023,0.142169264,0.149804965,6866000,7353000,8828000,9046000,10639000,305000,311000,324000,335000,343000,8810,36,24,735,774,"396","441","754",608,512,"399","504","678",518,"770","687","827","522",277,"316","599","739","714","15","11","19","14","8","*","10","7","6","5","10","10","*","6","14","14","11","11","11","5","*","20","*","20","55","90","45","10"
"NHS South West London CCG","36L",340658,343221,"London",9955,11230,238373376.2,255990971.4,276811082.9,286506973.1,303903707.8,0.130268513,0.133765738,0.136873381,0.120575213,0.127896553,15473403.11,17549211.12,20409931.8,19598962.73,21354369.81,1615062.914,1801234.536,1912687.811,1434410.118,1651354.255,17100,40,32,3386,3594,"3516","2720","2705",2284,1877,"1939","2471","1905",1683,"1726","951","1249","1402",1616,"2469","2003","2144","1763","13","6","*","8","6","*","*","5","8","*","7","*","*","6","5","*","*","8","5","6","45","*","*","*","*","*","*","*"
"NHS North Yorkshire CCG","42D",81258,81370,"North East and Yorkshire",3015,3055,81371264.96,88516938.63,86020992.47,93149992.98,98554521.17,0.15277173,0.161027136,0.148978349,0.132988189,0.140704114,4724207.275,4837084.722,3836241.476,4293769.643,4515463.027,224337.7177,225902.702,212534.1538,332905.1452,337221.8241,4295,38,32,789,858,"1066","1201","1070",911,699,"513","638","450",403,"82","185","363","587",434,"118","165","467","451","29","31","27","24","31","29","25","28","23","19","23","26","13","22","21","17","29","29","36","44","*","*","*","*","*","10","*","*"
"NHS Nottingham and Nottinghamshire CCG","52R",213118,213938,"Midlands",10270,10775,204989955.8,216383142,230784565.7,232855912.8,247720000,0.151386999,0.162005871,0.163590561,0.14119909,0.150212371,8976517.621,10132217.93,10916351.06,12384812,13088000,959701.982,1022389.571,1167160.29,1009007.953,1025000,15615,56,29,1898,1884,"1727","1800","1476",1600,1167,"1195","988","1065",1565,"1791","1482","1646","1624",1659,"1856","1482","1036","909","8","6","8","10","5","9","*","5","8","*","5","*","*","7","*","*","*","*","*","5","*","*","*","*","*","*","40","20"
"NHS West Sussex CCG","70F",174444,175759,"South East",4980,6395,119392000,131983766.5,147049478.9,159846847.7,169156149,0.109758248,0.114551244,0.120756055,0.116156494,0.122921319,7447764,9040840.15,9236931.741,10184129.92,9697582.866,469270,638540.343,721347.5427,880738.8481,911967.6681,9025,53,24,1659,1334,"1095","937","595",1005,817,"961","1250","1350",1163,"752","866","1056","1079",723,"867","945","1040","1297","16","18","22","20","14","15","11","13","11","14","25","15","11","8","14","10","15","8","*","*","90","35","15","*","15","10","*","*"
"NHS Lincolnshire CCG","71E",146412,147332,"Midlands",4545,4675,142623247.6,148039089.7,156933648.6,171911999,182540049.2,0.142472279,0.147555844,0.14805997,0.137876835,0.146400742,7345796.6,7953569.827,8233083.733,7686071,7556087.387,175608,0,531451.1846,676086,684672,8090,37,40,1583,1797,"1864","1697","1325",1227,934,"947","1037","1151",1578,"1120","747","579","711",759,"507","492","639","896","19","17","8","13","13","7","5","7","9","5","8","8","12","11","5","9","8","7","8","11","*","*","*","5","*","*","*","*"
"NHS South East London CCG","72Q",397064,398202,"London",12340,13800,346842040,359324600.8,391224865.9,400871373.8,421390000,0.141839092,0.147166351,0.151141531,0.12335921,0.129673359,21343000,24273605.36,27219789.5,32415441.38,34845000,1222000,1308018.484,1442806.851,2099433.745,2143000,17195,31,28,4004,2979,"4196","4206","3847",2844,2928,"3474","3783","2861",2565,"2111","556","693","990",1013,"2079","1919","1622","1436","27","16","18","14","18","14","15","14","17","21","14","9","*","5","8","7","*","*","5","9","25","*","*","*","*","*","*","*"
"NHS Northamptonshire CCG","78H",167864,169287,"Midlands",4480,5700,121943000,126504000,134983000,141647954.7,148472598.9,0.1363941,0.140478678,0.141710567,0.126547763,0.132644875,8737000,8495000,8840000,7730723.378,9012138.247,374000,382000,837000,868854.6843,1042489.335,6735,48,13,1887,2224,"1903","1938","2170",1989,1736,"1697","2123","2066",2333,"2152","1427","1605","1766",1947,"2128","1557","1256","1037","46","54","63","56","46","41","55","40","43","27","40","27","14","12","16","11","20","20","17","17","*","25","*","*","65","15","5","*"
"NHS County Durham CCG","84H",101468,101979,"North East and Yorkshire",7860,7715,136178000,139472420,146620965.6,155814741.9,167513540.4,0.165916247,0.171749258,0.171313793,0.158878079,0.170806877,7199000,7712405.8,8229802.148,8926509.815,9864028.713,585000,585773.0737,745150.6759,910515.5342,1520320.467,9940,37,29,1008,1026,"1199","1105","1053",985,987,"879","1067","831",563,"449","565","490","516",567,"193","*","210","90","27","25","17","21","29","24","19","27","28","28","27","30","19","19","17","25","24","15","14","9","5","20","*","15","*","10","*","20"
